AnimeName	comedy	shounen	drama	action	adventure	fantasy	scifi	romance	supernatural	mystery	sliceoflife	school	seinen	historical	sports	SearchContents
Ajin 2nd Season	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	ajin demihuman japan manga series written illustrate gamon sakurai it adapt 3d animate film trilogy polygon pictures november 2015 september 2016 an anime television series adaptation polygon pictures air january april 2016 ajin demihuman japan manga series written illustrate gamon sakurai after escape death kei nagai new companion kou nakano plot revenge satou fellow ajin hellbent world domination second season premier october 2016 continue original number sequence ajin demihuman presents story student name kei nagai discover ajin fatally wound traffic accident for high school keiand fortysix othersimmortal come nastiest surprise
Akagami no Shirayuki-hime 2nd Season	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	snow white red hair japan shjo manga written sorata akizuki ja it serialize hakusensha bimonthly shjo manga magazine lala dx move monthly lala4 publish collected volumes hakusensha an anime adaptation produce warner bro hakusensha showgate the klockworx co ltd hakuhodo dy media partner docomo anime store bs fuji bone air half season japan july 2015 september 21 2015 the second half season air japan january 11 2016 march 28 2016 shirayuki zen wistalia finally confirmed romantic feelings resume daily lives akagami returns continuation splitcour to expect shirayuki zen return well fairytale happening shirayuki normal herbalist kingdom tanbarun one unique feature beautiful red hair an anime television series adaptation announce 2015 april issue hakusensha lala magazine the anime direct masahiro and script written deko akao character designs kumiko takahashi the second season anime television series air japan january 11 2016 march 28 2016
Akatsuki no Yona	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	yona dawn japan manga series mizuho kusanagi serialize hakusensha shjo manga magazine hana yume august 2009 it collected thirty tankbon volumes princess yona lives life luxury ease completely sheltered problem seemingly peaceful kingdom kouka regular broadcasting october 2014 after betray run out home redhaire princess yona search four legendary dragon take stolen kingdom king il kouka land legend found four dragon one remain heir daughter name yona yona dawn aka akatsuki yona originally manga series writer name mizuho kusanagi the manga launch 2009 strong base popular manga same mizuho kusanagi akatsuki yona follow princess yona comingofage adventure face harsh reality kingdom
Akira	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	ira 1988 japan animate postapocalyptic cyberpunk film direct katsuhiro otomo produce ryhei suzuki shunz kat written otomo izo hashimoto base otomo 1982 manga same the film production budget billion1 million2 making expensive anime film time akira premier japan july 16 1988 toho initially unable recoup budget akira japan cyberpunk media franchise base katsuhiro otomo seminal manga akira publish 1982 1990 secret military project endanger neotokyo turn bike gang member rampage psychic psychopath stop two teenager group psychic the film depict dystopian version tokyo year 2019 cyberpunk tone the film hugely popular cult film world widely considered landmark featurelength animation japan 1988 an explosion cause young boy psychic powers tear city tokyo ignite fuse leads world war iii akira won silver scream award audience award amsterdambase imagine film festival 1992 nominate america anime award best anime feature award 2007 akira landmark animation one influential film time
Angel Beats!	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	angel beat 13episode japan anime television series produce works aniplex direct seiji kishi the story originally conceive jun maeda wrote screenplay compose music group anantgarde eyes angel beat received generally positive review critic angel beat set environment high school afterlife type limbo experienced trauma hardship life overcome passing reincarnate angel beat original anime create screenplay writer jun maeda direct seiji kishi manga adaptation later release jun maeda publish ascii media works dengeki gs magazine the manga use expand elements plot fitted show original running time rebellious teens fight armed combat one dispassionate girl supernatural powers afterlife high school angel beat multimedia project consist anime series manga series 4panel comic strip 4koma novel angel beat franchise consist thirteenepisode anime four manga light novel visual novel keyvisual arts
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	anohana the flower we saw that day 11episode 2011 japan anime television series create super peace buster artist collective consist director tatsuyuki nagai screenwriter mari okada character designer masayoshi tanaka the anime produce a1 pictures air fuji tvs noitamina block april june 2011 it current licensed north america aniplex america ano hi mita hana namae wo bokutachi wa mada shiranai reunite lead production staff 2008 anime series toradora it tease december 2010 joint production aniplex fuji television animation studio a1 pictures title anohana project anohana movie retell main event parent story perspective member super peace buster anohana movie received jury selection award animation division 17th japan media arts festival ano hana compel anime it one loss traumatic event coping recover anohana the movie movie anime series produce aniplex a1 pictures premier aug 31 2013 the movie open august 31 theater japan
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	anohana the flower we saw that day 11episode 2011 japan anime television series create super peace buster artist collective consist director tatsuyuki nagai screenwriter mari okada character designer masayoshi tanaka the anime produce a1 pictures air fuji tvs noitamina block april june 2011 it current licensed north america aniplex america ano hi mita hana namae wo bokutachi wa mada shiranai reunite lead production staff 2008 anime series toradora it tease december 2010 joint production aniplex fuji television animation studio a1 pictures title anohana project anohana movie retell main event parent story perspective member super peace buster anohana movie received jury selection award animation division 17th japan media arts festival ano hana compel anime it one loss traumatic event coping recover anohana the movie movie anime series produce aniplex a1 pictures premier aug 31 2013 the movie open august 31 theater japan
Ansatsu Kyoushitsu (TV) 2nd Season	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	assassinate classroom japan science fiction comedy manga series written illustrate ysei matsui the series serialize shueisha weekly shnen jump magazine july 2012 march 2016 licensed english viz media the student return school session second semester shorts ansatsu kyoushitsu tv 2nd season adapt chapter manga tv series assassinate classroom anime series adapt ysei matsui manga series same serialize shueisha weekly shounen jump magazine the student return school session second semester class 3e second semester and things change class assignment same the adapt chapter 78 79 publish ninth manga volume the series serialize shueisha weekly shonen jump magazine july 2012 the second season anime airing january 2016 ran 25 episode
Ansatsu Kyoushitsu (TV)	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	assassinate classroom japan science fiction comedy manga series written illustrate ysei matsui the series serialize shueisha weekly shnen jump magazine july 2012 march 2016 licensed english viz media the student return school session second semester shorts ansatsu kyoushitsu tv 2nd season adapt chapter manga tv series assassinate classroom anime series adapt ysei matsui manga series same serialize shueisha weekly shounen jump magazine the student return school session second semester class 3e second semester and things change class assignment same the adapt chapter 78 79 publish ninth manga volume the series serialize shueisha weekly shonen jump magazine july 2012 the second season anime airing january 2016 ran 25 episode
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	arpeggio blue steel japan manga series produce ark performance serialize shnen gahosha young king ours seventeen manga volumes release anime series sanzigen air october 2013 december 23 2013 the group privateer known blue steel continue mission deliver blueprint vibration warhead torpedoa weapon turn tide war favor united states aoki hagane arpeggio ars nova cadenza second two movies follow continue anime series it continue story right aoki hagane arpeggio ars nova dc cliffhanger the beginning start off yamato and musashi fight also conclude yamato sink ars nova dc movie beginning the same studio produce two film base series the film release january 31 2015 second film release october 2015 cg render anime produce sanzigen titled arpeggio blue steel ars nova airing october 2013 arpeggio blue steel ars nova cadenza seventh place opening weekend us562000
