,created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,topic,identifier,quoted_status_id,quoted_status_id_str,quoted_status,extended_entities
0,Wed Aug 05 20:53:15 +0000 2020,1291115073122045961,1291115073122045961,"Would your position on school re-opening be different if you were a teacher? You won?t know until you listen directly to the teachers, especially @AnnieTangent. https://t.co/8gPbvpnXDn 1/",False,"[0, 187]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AnnieTangent', 'name': 'Annie Tan', 'id': 1616412366, 'id_str': '1616412366', 'indices': [146, 159]}], 'urls': [{'url': 'https://t.co/8gPbvpnXDn', 'expanded_url': 'https://newrepublic.com/article/158799/teacher-new-york-covid-atlantic-response', 'display_url': 'newrepublic.com/article/158799?', 'indices': [161, 184]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 30594772, 'id_str': '30594772', 'name': 'Lynn Shon', 'screen_name': 'lynnshon', 'location': 'Brooklyn, NY', 'description': 'Science Teacher @NYCSchools. @NYSMTP @MathforAmerica MT. @RiSCNYC author. #Educolor. Forever working toward #AntiRacist Education + #ClimateJustice. she/her.', 'url': 'https://t.co/pEseZB9xmP', 'entities': {'url': {'urls': [{'url': 'https://t.co/pEseZB9xmP', 'expanded_url': 'https://medium.com/@lynn.shon', 'display_url': 'medium.com/@lynn.shon', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1500, 'friends_count': 1180, 'listed_count': 25, 'created_at': 'Sun Apr 12 03:45:49 +0000 2009', 'favourites_count': 5552, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 2540, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme13/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1245309750276960257/cxJpo815_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1245309750276960257/cxJpo815_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/30594772/1590856244', 'profile_link_color': '7FDBB6', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,12,32,False,False,False,en,TRECIS-CTIT-H-072,1291115073122045961,,,,
1,Wed Aug 05 20:52:16 +0000 2020,1291114825880424448,1291114825880424448,"""James Powers, Brooklyn Gallerist Who Nurtured Black Artists, Dies at 80"" by BY PENELOPE GREEN via NYT https://t.co/KwiTlet6Es",False,"[0, 126]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KwiTlet6Es', 'expanded_url': 'https://ift.tt/3a2YpDo', 'display_url': 'ift.tt/3a2YpDo', 'indices': [103, 126]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,,,"{'id': 2355118010, 'id_str': '2355118010', 'name': 'The Bell', 'screen_name': 'TheBellTolling', 'location': '', 'description': 'Ask not for whom the bell tolls - It tolls for thee.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 6, 'friends_count': 1, 'listed_count': 0, 'created_at': 'Fri Feb 21 17:33:11 +0000 2014', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2797, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/436919607912177665/6mVuP41r_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/436919607912177665/6mVuP41r_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2355118010/1393004855', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,False,en,TRECIS-CTIT-H-072,1291114825880424448,,,,
2,Wed Aug 05 17:26:09 +0000 2020,1291062953157038083,1291062953157038083,@Dragynwing @cobrabadger @ashishkjha Those other ?hot spots? were a mere blip compared to New York. In April New York has a 31% positive test rate. 8% is nothing compared to that. New York basically has herd immunity now. The masks are just for show.,False,"[37, 250]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Dragynwing', 'name': '???Mother of Exiles???', 'id': 16350171, 'id_str': '16350171', 'indices': [0, 11]}, {'screen_name': 'cobrabadger', 'name': 'craig', 'id': 18361918, 'id_str': '18361918', 'indices': [12, 24]}, {'screen_name': 'ashishkjha', 'name': 'Ashish K. Jha', 'id': 39416218, 'id_str': '39416218', 'indices': [25, 36]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2910614943948227e+18,1291061494394822656,1.1534584780710584e+18,1153458478071058434,MikeyG_NY,"{'id': 1153458478071058434, 'id_str': '1153458478071058434', 'name': 'Mikey G', 'screen_name': 'MikeyG_NY', 'location': '', 'description': 'NFL Fan', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 54, 'friends_count': 110, 'listed_count': 0, 'created_at': 'Tue Jul 23 00:15:06 +0000 2019', 'favourites_count': 11443, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4758, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1220869029662986245/ueYFR6jX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1220869029662986245/ueYFR6jX_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1153458478071058434/1579912878', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,,en,TRECIS-CTIT-H-072,1291062953157038083,,,,
3,Wed Aug 05 16:58:01 +0000 2020,1291055873599721472,1291055873599721472,"Public understanding of the current COVID situation in the US is so low that a lot of people think a) New York is still a ""hot spot"" and b) New York would be crazy to open schools. The second is true of even an alarmingly high number of New Yorkers.  https://t.co/S81bDVnCTi",False,"[0, 274]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/S81bDVnCTi', 'expanded_url': 'https://twitter.com/ashishkjha/status/1291054914848923649', 'display_url': 'twitter.com/ashishkjha/sta?', 'indices': [251, 274]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,"{'id': 17477791, 'id_str': '17477791', 'name': 'Phil Ticknor', 'screen_name': 'pticknor', 'location': 'Millington, MD', 'description': ""Father/husband: politics, society, weather, basketball, pop culture. I Google things so you don't have to."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 35, 'friends_count': 239, 'listed_count': 8, 'created_at': 'Wed Nov 19 02:19:57 +0000 2008', 'favourites_count': 2392, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2260, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0A3C7A', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1154458080689737728/ghuczvNS_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1154458080689737728/ghuczvNS_normal.jpg', 'profile_link_color': '0066FF', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,True,0,1,False,False,False,en,TRECIS-CTIT-H-072,1291055873599721472,1.290848464671142e+18,1290848464671141888,"{'created_at': 'Wed Aug 05 03:13:51 +0000 2020', 'id': 1290848464671141888, 'id_str': '1290848464671141888', 'full_text': 'I often tweet about states struggling so now, a wonderful success story: \n\nNew York\n\nDoing 67,000 tests a day\n\nFinding 670 cases a day\n\n1% test positivity\n\nThis is South Korea level. And its awesome \n\nTransmission levels so low NY can, with proper precautions, open schools safely', 'truncated': False, 'display_text_range': [0, 280], 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'metadata': {'iso_language_code': 'en', 'result_type': 'recent'}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 39416218, 'id_str': '39416218', 'name': 'Ashish K. Jha', 'screen_name': 'ashishkjha', 'location': 'Cambridge, MA', 'description': 'Physician, researcher, and advocate for the notion that an ounce of data is worth a thousand pounds of opinion. Director @harvardgh. Soon, Dean @Brown_SPH', 'url': 'https://t.co/VM1O7CWg9o', 'entities': {'url': {'urls': [{'url': 'https://t.co/VM1O7CWg9o', 'expanded_url': 'https://www.hsph.harvard.edu/ashish-jha/', 'display_url': 'hsph.harvard.edu/ashish-jha/', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 84908, 'friends_count': 491, 'listed_count': 1977, 'created_at': 'Tue May 12 02:51:50 +0000 2009', 'favourites_count': 5294, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 8941, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'EBEBEB', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1206973402176606208/BB8EX4ci_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1206973402176606208/BB8EX4ci_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/39416218/1438291287', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'F3F3F3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 5851, 'favorite_count': 33619, 'favorited': False, 'retweeted': False, 'lang': 'en'}",
4,Wed Aug 05 12:03:31 +0000 2020,1290981759161688067,1290981759161688067,"@toooldforit @northwalescom @BBCWalesNews I had always lived in queens park until 2 years and still stay down with family around twice a week, house parties are the norm, social distancing doesn't exist and the majority simply don't care. The mentality is if you get it you get it. Those are the ones who won't get tested.",False,"[42, 322]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'toooldforit', 'name': 'Old Git', 'id': 3663984556, 'id_str': '3663984556', 'indices': [0, 12]}, {'screen_name': 'northwalescom', 'name': 'NorthWales.com', 'id': 552652355, 'id_str': '552652355', 'indices': [13, 27]}, {'screen_name': 'BBCWalesNews', 'name': 'BBC Wales News', 'id': 306197611, 'id_str': '306197611', 'indices': [28, 41]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2909788719076884e+18,1290978871907688449,3663984556.0,3663984556,toooldforit,"{'id': 2769352774, 'id_str': '2769352774', 'name': 'Paul Thomas', 'screen_name': 'paulthomas8t7', 'location': 'Wrexham ', 'description': ""From the pearl of Wales Wrexham, a fan of music of all types (except swell head music) gaming and anything that's remotely good."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 116, 'friends_count': 620, 'listed_count': 0, 'created_at': 'Sat Sep 13 21:08:59 +0000 2014', 'favourites_count': 480, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1617, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1052865568641036288/flP4ZIo-_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1052865568641036288/flP4ZIo-_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2769352774/1524739426', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,,en,TRECIS-CTIT-H-072,1290981759161688067,,,,
5,Wed Aug 05 00:53:56 +0000 2020,1290813255745712131,1290813255745712131,"Illicit, Underground Pandemic Parties Continue To Proliferate In Manhattan Venues - Gothamist https://t.co/U56tThP4c7",False,"[0, 117]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/U56tThP4c7', 'expanded_url': 'https://gothamist.com/arts-entertainment/pandemic-parties-nyc-underground-covid-coronavirus', 'display_url': 'gothamist.com/arts-entertain?', 'indices': [94, 117]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 68093, 'id_str': '68093', 'name': 'Margery', 'screen_name': 'margery', 'location': 'Massachusetts, USA', 'description': 'Carpe Diem. Despise and loathe Trump  #Resister', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1606, 'friends_count': 2499, 'listed_count': 67, 'created_at': 'Thu Dec 14 18:41:19 +0000 2006', 'favourites_count': 56353, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 234766, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'ACDED6', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme18/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme18/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1015942081771114496/7mom68gP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1015942081771114496/7mom68gP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/68093/1531054443', 'profile_link_color': '038543', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'regular'}",,,,,False,0,1,False,False,False,en,TRECIS-CTIT-H-072,1290813255745712131,,,,
6,Tue Aug 04 22:06:20 +0000 2020,1290771077770158080,1290771077770158080,New York?s health commissioner resigns over COVID-19�handling https://t.co/wDQvYCrSiU,False,"[0, 85]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wDQvYCrSiU', 'expanded_url': 'https://naija247news.com/2020/08/04/new-yorks-health-commissioner-resigns-over-covid-19-handling/', 'display_url': 'naija247news.com/2020/08/04/new?', 'indices': [62, 85]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",,,,,,"{'id': 210566577, 'id_str': '210566577', 'name': 'Naija247news Media', 'screen_name': 'Naija247new', 'location': 'Lagos State  Nigeria', 'description': 'https://t.co/yF8j19Pyqi is an investigative news platform that tracks news on Nigerian Economy, Business, Politics, Financial and Africa and Global Economy.', 'url': 'https://t.co/yF8j19Pyqi', 'entities': {'url': {'urls': [{'url': 'https://t.co/yF8j19Pyqi', 'expanded_url': 'http://Naija247news.com', 'display_url': 'Naija247news.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/yF8j19Pyqi', 'expanded_url': 'http://Naija247news.com', 'display_url': 'Naija247news.com', 'indices': [0, 23]}]}}, 'protected': False, 'followers_count': 6182, 'friends_count': 652, 'listed_count': 71, 'created_at': 'Sun Oct 31 19:01:58 +0000 2010', 'favourites_count': 457, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 362174, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1077413606369693696/zypo1VMk_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1077413606369693696/zypo1VMk_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/210566577/1592401055', 'profile_link_color': '19CF86', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'FFFFFF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,1,False,False,True,en,TRECIS-CTIT-H-072,1290771077770158080,,,,
7,Tue Aug 04 19:13:23 +0000 2020,1290727550126362626,1290727550126362626,"NYC health commissioner resigns, slams de Blasio's coronavirus handling https://t.co/YrKQTRp7Ka via @ABC7NY",False,"[0, 107]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ABC7NY', 'name': 'Eyewitness News', 'id': 16715398, 'id_str': '16715398', 'indices': [100, 107]}], 'urls': [{'url': 'https://t.co/YrKQTRp7Ka', 'expanded_url': 'https://abc7ny.com/health/nyc-health-commissioner-resigns-slams-de-blasios-covid-response/6353061/', 'display_url': 'abc7ny.com/health/nyc-hea?', 'indices': [72, 95]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 910196128146128897, 'id_str': '910196128146128897', 'name': 'Keith', 'screen_name': 'Keithho24605599', 'location': 'On the Chesapeake bay near the worlds lagest naval base , norfolk', 'description': 'Trump 2020???? proud grandpa, golfer and beachbum?NO LISTS ?', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1639, 'friends_count': 1550, 'listed_count': 0, 'created_at': 'Tue Sep 19 17:37:22 +0000 2017', 'favourites_count': 64852, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 65352, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1170097370861920256/Ttd9cdhS_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1170097370861920256/Ttd9cdhS_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,False,en,TRECIS-CTIT-H-072,1290727550126362626,,,,
8,Tue Aug 04 16:30:37 +0000 2020,1290686591342714881,1290686591342714881,Hope she gives an in-depth interview to a reporter who DOESN'T work for the @NYTimes. https://t.co/c8xdm6LqKz,False,"[0, 109]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [76, 84]}], 'urls': [{'url': 'https://t.co/c8xdm6LqKz', 'expanded_url': 'https://www.foxnews.com/politics/nyc-health-commissioner-resigns-over-de-blasios-handling-of-coronavirus-pandemic-report.amp?__twitter_impression=true', 'display_url': 'foxnews.com/politics/nyc-h?', 'indices': [86, 109]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 341688336, 'id_str': '341688336', 'name': 'JAO', 'screen_name': 'HelenTuttle', 'location': '', 'description': ""Term limits, anyone? Kick 'em all to the curb. Sick and tired of the people who are supposed to represent our interests spending our $$ as if it were theirs."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 3214, 'friends_count': 4789, 'listed_count': 24, 'created_at': 'Sun Jul 24 19:59:20 +0000 2011', 'favourites_count': 42, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 73619, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1564063230/IMG00163-20110323-1942_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1564063230/IMG00163-20110323-1942_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,0,0,False,False,False,en,TRECIS-CTIT-H-072,1290686591342714881,,,,
9,Tue Aug 04 16:03:18 +0000 2020,1290679714542125056,1290679714542125056,"Oxiris Barbot, commissioner of the New York City Department of Health and Mental Hygiene who helped oversee the city?s response to the coronavirus pandemic, resigned from her post. https://t.co/Lka5v2Ssl9 via @WSJ",False,"[0, 213]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WSJ', 'name': 'The Wall Street Journal', 'id': 3108351, 'id_str': '3108351', 'indices': [209, 213]}], 'urls': [{'url': 'https://t.co/Lka5v2Ssl9', 'expanded_url': 'https://www.wsj.com/articles/new-york-city-health-commissioner-oxiris-barbot-resigns-11596556014', 'display_url': 'wsj.com/articles/new-y?', 'indices': [181, 204]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 351832182, 'id_str': '351832182', 'name': 'Michael Howard Saul', 'screen_name': 'MichaelHwrdSaul', 'location': '', 'description': 'Page One News Editor, The Wall Street Journal michael.saul@wsj.com', 'url': 'https://t.co/GhhR6PLfem', 'entities': {'url': {'urls': [{'url': 'https://t.co/GhhR6PLfem', 'expanded_url': 'http://wsj.com', 'display_url': 'wsj.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 7705, 'friends_count': 441, 'listed_count': 288, 'created_at': 'Tue Aug 09 19:57:50 +0000 2011', 'favourites_count': 2306, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 19632, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/698950022793039872/gXAu4tMO_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/698950022793039872/gXAu4tMO_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/351832182/1473271412', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",,,,,False,16,46,False,False,False,en,TRECIS-CTIT-H-072,1290679714542125056,,,,
